,Frame,RealHeading,Rsqr,X,Y,Z,centroid use,d_th,dx,dy,dz,error,heading
0,1.0,-29.171883069061753,-0.98,-5.019950744712044,0.7042403889833335,-0.010053684918585326,1.0,-0.23027095925883512,-0.12290352402388915,0.0,0.1732332705198913,0.007893592563554765,-29.402154028320588
1,2.0,-29.17188307534221,-0.99,-5.085608259364931,0.7042403889833333,0.16370027433012713,0.0,0.0,-0.06565751465288727,0.0,0.1737539592487125,0.007893592346563953,-29.402154028320588
2,3.0,-29.171883069061764,-0.98,-5.180478403742244,0.7042403889833335,0.3384511628910926,1.0,0.0,-0.09487014437731212,0.0,0.17475088856096543,0.007893592563554397,-29.402154028320588
3,4.0,-29.171883069061753,-0.99,-5.283201582342754,0.7042403889833333,0.5170345912082956,0.0,-1.2116210708667392,-0.1027231786005105,0.0,0.17858342831720292,0.049427458169636465,-30.61377509918733
4,5.0,-29.171883069061753,-0.98,-5.377590268999999,0.7042403889833333,0.6906493799166665,1.0,-0.13073200236653587,-0.10879795637171519,0.0,0.17742488817839352,-0.0,-29.171883069061753
5,6.0,-29.171883069061764,-0.97,-5.457097666271881,0.7042403889833333,0.8618148617416834,0.0,0.0,-0.0650981275574134,0.0,0.16735538235499414,-3.653566350574397e-16,-29.171883069061753
6,7.0,-29.171883069061764,-0.99,-5.584015172559382,0.7042403889833333,1.044098421515232,0.0,-2.3507977724783102,-0.12691750628750054,0.0,0.1822835597735486,0.08058436841094556,-31.522680841540062
7,8.0,-29.171883069061764,-0.97,-5.644938014760746,0.7042403889833333,1.2161666779067233,0.0,0.0,-0.06092284220136435,0.0,0.17206825639149126,0.08058436841094556,-31.522680841540062
8,9.0,-29.171883069061753,-0.99,-5.768035213569812,0.7042403889833333,1.390463618070243,0.0,-2.188150336238827,-0.12309719880906567,0.0,0.1742969401635197,0.1555932504587239,-33.710831177778886
9,10.0,-29.171883069061764,-0.97,-5.857015807700001,0.7042403889833333,1.5682319418,0.0,0.0,-0.07169596317179394,0.0,0.17844372206387704,-0.0,-29.171883069061764
10,11.0,-29.171883069061753,-0.97,-5.958875703206276,0.7042403889833333,1.749254634505969,0.0,0.0,-0.11914452646467044,0.0,0.18034729437184893,3.653566350574398e-16,-29.171883069061764
11,12.0,-29.171883069061764,-0.98,-6.043760854526831,0.7042403889833335,1.9156231378782396,1.0,0.0,-0.08488515132055596,0.0,0.16636850337227083,-0.0,-29.171883069061764
12,13.0,-29.171883069061753,-0.97,-6.170359120445318,0.7042403889833333,2.088564629965751,0.0,0.0,-0.12659826591848944,0.0,0.17294149208751142,3.653566350574398e-16,-29.171883069061764
13,14.0,-29.17188308031226,-0.93,-6.211195350473986,0.7042403889833333,2.2671380439384894,0.0,0.0,-0.040836230028667764,0.0,0.1785734139727384,-3.8566230418638166e-10,-29.171883069061764
14,15.0,-29.171883069061753,-0.93,-6.33644134625,0.7042403889833333,2.4458145036833323,0.0,0.0,-0.11937592954396958,0.0,0.17086913323976294,-0.0,-29.171883069061753
15,16.0,-29.171883069061764,-0.99,-6.426878937219339,0.7042403889833333,2.6231596517542566,0.0,-2.345755408707061,-0.09630765720138346,0.0,0.18515247457600426,0.08041151828127406,-31.517638477768813
16,17.0,-29.171883069061753,-0.98,-6.503560600734863,0.7042403889833335,2.7979027708215103,1.0,0.03143964426525091,-0.07668166351552586,0.0,0.17474311906725326,0.07933378037210961,-31.48619883350356
17,18.0,-29.171883069061764,-0.97,-6.6185002063575995,0.7042403889833333,2.967279538364971,0.0,0.0,-0.11493960562273742,0.0,0.1693767675434601,0.07933378037210922,-31.48619883350356
18,19.0,-29.171883069061753,-0.94,-6.706979426638257,0.7042403889833333,3.1452841335077406,0.0,0.0,-0.08847922028065724,0.0,0.17800459514276978,0.07933378037210961,-31.48619883350356
19,20.0,-29.171883069061753,-0.98,-6.815866884866665,0.7042403889833333,3.323397065583334,1.0,0.007073195053788286,-0.09365516811323005,0.0,0.17951960426429103,-0.0,-29.171883069061753
20,21.0,-29.171883080312284,-0.97,-6.924326923105638,0.7042403889833333,3.495041625906317,0.0,0.0,-0.12369232835415378,0.0,0.17023788813428808,-3.8566352204183103e-10,-29.171883069061753
21,22.0,-29.171883069061764,-0.89,-7.057119029143099,0.7042403889833333,3.6815455345565478,0.0,0.0,-0.13279210603746083,0.0,0.1865039086502307,-3.653566350574397e-16,-29.171883069061753
22,23.0,-29.171883069061764,-0.95,-7.132903430567906,0.7042403889833333,3.8506343397583263,0.0,0.0,-0.07578440142480769,0.0,0.1690888052017785,-3.653566350574397e-16,-29.171883069061753
23,24.0,-29.171883069061753,-0.95,-7.2350695748824965,0.7042403889833333,4.02519070512382,0.0,0.0,-0.10216614431459003,0.0,0.1745563653654938,-0.0,-29.171883069061753
24,25.0,-29.171883069061764,-0.94,-7.295292423433334,0.7042403889833333,4.2009796275166655,0.0,0.0,-0.08021762791892328,0.0,0.17675524195421488,-0.0,-29.171883069061764
25,26.0,-29.171883069061764,-0.95,-7.375275880687803,0.7042403889833333,4.376790083593649,0.0,0.0,-0.05998867788638318,0.0,0.17484413651561415,-0.0,-29.171883069061764
26,27.0,-29.171883069061764,-0.82,-7.548632288707,0.7042403889833333,4.560573172513884,0.0,0.0,-0.17335640801919716,0.0,0.18378308892023476,-0.0,-29.171883069061764
27,28.0,-29.171883069061753,-0.97,-7.5876084006392235,0.7042403889833333,4.724983030584609,0.0,0.0,-0.03897611193222339,0.0,0.16440985807072472,3.653566350574398e-16,-29.171883069061764
28,29.0,-29.171883069061764,-0.95,-7.718904981732582,0.7042403889833333,4.9063907386990575,0.0,0.0,-0.13129658109335818,0.0,0.18140770811444895,-0.0,-29.171883069061764
29,30.0,-29.171883069061764,-0.97,-7.774717962033334,0.7042403889833333,5.078562189416666,0.0,0.0,-0.043361310224094396,0.0,0.1727195134860633,-0.0,-29.171883069061764
30,31.0,-29.17188307534221,-0.97,-7.889160719833078,0.7042403889833333,5.253141192867279,0.0,0.0,-0.12689442787640193,0.0,0.17403094068215808,-2.1529102501195685e-10,-29.171883069061764
31,32.0,-29.17188308031226,-0.93,-7.941614531604597,0.7042403889833333,5.42747166424673,0.0,0.0,-0.0524538117715192,0.0,0.17433047137945135,-3.8566230418638166e-10,-29.171883069061764
32,33.0,-29.171883069061753,-0.93,-8.08514616855697,0.7042403889833333,5.597781464568074,0.0,0.0,-0.14353163695237203,0.0,0.1703098003213439,3.653566350574398e-16,-29.171883069061764
33,34.0,-29.171883069061753,-0.97,-8.148266241361453,0.7042403889833333,5.784548594704626,0.0,0.0,-0.06312007280448384,0.0,0.18676713013655188,3.653566350574398e-16,-29.171883069061764
34,35.0,-29.171883069061753,-0.84,-8.2541435007,0.7042403889833333,5.956144751333334,0.0,0.0,-0.12496476507866916,0.0,0.1811079752355047,-0.0,-29.171883069061753
35,36.0,-29.171883069061753,-0.93,-8.315671908626822,0.7042403889833333,6.137134886331569,0.0,0.0,-0.0424409021866996,0.0,0.17147831639143796,-0.0,-29.171883069061753
36,37.0,-29.171883069061753,-0.92,-8.409826264920177,0.7042403889833333,6.307372141373029,0.0,0.0,-0.09415435629335533,0.0,0.17023725504146014,-0.0,-29.171883069061753
37,38.0,-29.171883069061753,-0.95,-8.54186814697582,0.7042403889833333,6.4866131038565165,0.0,0.0,-0.1320418820556437,0.0,0.17924096248348764,-0.0,-29.171883069061753
38,39.0,-29.171883086592715,-0.88,-8.657427242079113,0.7042403889833333,6.650198360448355,0.0,0.0,-0.11555909510329165,0.0,0.16358525659183876,-6.009540597455487e-10,-29.171883069061753
39,40.0,-29.171883069061753,-0.89,-8.733569039283333,0.7042403889833333,6.833727313216667,0.0,0.0,-0.02096956647636361,0.0,0.1791347786660582,-0.0,-29.171883069061753
40,41.0,-29.17188306906174,-0.95,-8.8250818182948,0.7042403889833333,7.015389991066395,0.0,0.0,-0.14668500973932375,0.0,0.18605685195198163,4.871421800765867e-16,-29.171883069061753
41,42.0,-29.17188309156275,-0.84,-8.942702879062681,0.7042403889833333,7.1696115195321255,0.0,0.0,-0.11762106076788115,0.0,0.15422152846573045,-7.713248516463824e-10,-29.171883069061753
42,43.0,-29.171883125314277,-0.93,-8.998695984233873,0.7042403889833333,7.362361254707922,0.0,0.0,-0.055993105171191715,0.0,0.19274973517579674,-1.92831310116928e-09,-29.171883069061753
43,44.0,-29.17188303531024,-0.77,-9.182981767729801,0.7042403889833333,7.532622316071943,0.0,0.0,-0.1842857834959286,0.0,0.17026106136402053,1.1569877668427874e-09,-29.171883069061753
44,45.0,-29.171883057811247,-0.89,-9.212994578116668,0.7042403889833333,7.7113098750999995,0.0,0.0,-0.00967397536347292,0.0,0.18543550150767185,-0.0,-29.171883057811247
45,46.0,-29.171883110404135,-0.8,-9.3797175162257,0.7042403889833333,7.891516714749769,0.0,0.0,-0.18706177313242556,0.0,0.17345889717015428,-1.8028622995506127e-09,-29.171883057811247
46,47.0,-29.171883088941975,-0.88,-9.377848072484868,0.7042403889833333,8.056204919976194,0.0,0.0,0.0018694437408317555,0.0,0.16468820522642513,-1.0671483949994712e-09,-29.171883057811247
47,48.0,-29.17188301149882,-0.91,-9.464549829484065,0.7042403889833333,8.243369220805757,0.0,0.0,-0.08670175699919724,0.0,0.18716430082956315,1.5875706712522435e-09,-29.171883057811247
48,49.0,-29.17188304656072,-0.86,-9.580950043232752,0.7042403889833333,8.412840901636356,0.0,0.0,-0.11640021374868681,0.0,0.16947168083059871,3.856634007024946e-10,-29.171883057811247
